DNI,Asegurado,FecNac,SEXO,CPP,síntomas,enfermedad detectada,Distrito
48351962,Miguel Laura Torres Pérez,1967-04-11,F,CASERIO LA UNION,"sensibilidad a la luz, náuseas",Migraña,Callayuc
11801651,Carlos Diego Silva Vargas,1978-02-04,F,OTRO. CHONTAS BAJAS NRO. PUERTA SN PISO.01,"dificultad para respirar, pérdida de olfato",Migraña,Callayuc
36103109,José Eduardo Delgado Mendoza,1958-07-28,F,CASERIO LADRILLERA,dolor de cabeza,Diabetes,Callayuc
37609840,Lucía Roberto Cruz Castillo,1988-06-25,F,CASERIO SAN JUAN DE CHORRILLOS,,Diabetes,Callayuc
72529889,Jesús Claudia Torres Flores,1972-03-23,M,OTRO. CUMBE NRO. PUERTA SN PISO.01,"pérdida de olfato, tos seca, dificultad para respirar",COVID-19,Callayuc
68596332,Jorge Gloria Delgado Gutiérrez,2019-02-23,M,OTRO SALLOC NRO.SN BLOQUE. PISO.2 INTERIOR.  MZA.  LOTE. km.,acidez estomacal,Diabetes,Callayuc
48153932,Carlos Olga Torres López,2011-03-09,M,CASERIO SANTA RITA,"fiebre, pérdida de olfato",Gripe,Callayuc
28463227,Lucía Laura Castillo Pérez,2011-02-04,F,05SAN ISIDRO,,,Callayuc
82077747,Ángel Olga Rodríguez Sánchez,1998-09-22,M,SAN JUAN DE CHORRILLOS,"sibilancias, dificultad para respirar",Asma,Callayuc
50021778,Luis Isabel Delgado Silva,1994-09-05,M,OTRO. SANTA RITA NRO. PUERTA SN PISO.01,"estornudos, picazón",Alergia,Callayuc
59066262,Juan Martínez Silva,1995-04-30,F,VILUCO,"micción frecuente, cansancio",Alergia,Callayuc
56360785,Verónica Isabel Paredes García,2002-11-17,F,OTRO BATANCILLO NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE. km.,dolor de cabeza,,Callayuc
72520731,Miguel Diego García López,1993-08-18,M,JR. COMERCIO NRO. PUERTA SN PISO.01,"náuseas, acidez estomacal",Gastritis,Callayuc
44898124,María Luisa Castillo Paredes,1975-10-07,M,SAN JUAN DE CHORRILLOS,"náuseas, sensibilidad a la luz",Migraña,Callayuc
89755996,Miguel Luisa Castillo López,1986-02-02,M,OTRO. UNION SAN JOSE NRO. PUERTA SN PISO.01,"fiebre, dolor de garganta",Gripe,Callayuc
62847263,Juan Andrés García Rojas,2002-10-31,M,CASERIO CHONTAS,"dolor de cabeza, sensibilidad a la luz, náuseas",Migraña,Callayuc
35847828,Jesús Gloria López Cruz,1974-03-04,M,CASERIO CHONTAS,"cansancio, micción frecuente, sed excesiva",Diabetes,Callayuc
34711012,Juan Gloria Rodríguez Silva,2017-01-26,M,OTRO. SANTA ROSA NRO. PUERTA SN PISO.01,"acidez estomacal, náuseas",Gastritis,Callayuc
17027476,Juan Luisa Silva García,2001-10-11,M,EL CUMBE,,Asma,Callayuc
65604866,Marta Pablo González Mendoza,2022-12-31,F,CASERIO LA LLANGUA,"dolor abdominal, acidez estomacal",Migraña,Callayuc
30055823,Pedro Héctor Martínez Cruz,2008-06-06,F,C.P.EL CUMBE,pérdida de olfato,Gripe,Callayuc
93070829,Luis Marco Paredes Delgado,1980-10-02,F,LA LIBERTAD,"sensibilidad a la luz, dolor de cabeza",Migraña,Callayuc
