DNI,Asegurado,FecNac,SEXO,CPP,síntomas,enfermedad detectada,Distrito
96110126,José Claudia García Paredes,1989-12-21,M,EL CUMBE,"náuseas, dolor abdominal",Diabetes,Querocotillo
24672475,Miguel Raúl Ramírez Castillo,2014-01-30,F,YAPANA,"cansancio, micción frecuente, sed excesiva",Diabetes,Querocotillo
48946061,Carlos Héctor Vargas López,1934-03-09,M,CHURAZ,"dolor abdominal, acidez estomacal, náuseas",Gastritis,Querocotillo
90387167,Verónica Gloria Cruz González,2017-09-13,F,CARR. UNION SAN JOSE NRO. PUERTA SN PISO.01,"sibilancias, opresión en el pecho, dificultad para respirar",Asma,Querocotillo
67973400,Jorge Herrera Mendoza,1940-03-22,M,CASERIO SAN ISIDRO,"dificultad para respirar, opresión en el pecho, sibilancias",Asma,Querocotillo
45236240,Carmen Claudia Ramírez Delgado,1990-02-17,F,SAN JUAN DE CHORRILLOS,"micción frecuente, cansancio, sed excesiva",Diabetes,Querocotillo
26651816,Ángel Natalia García Pérez,1977-06-19,M,CASERIO SAN JUAN BAUTISTA,"náuseas, dolor abdominal",Gastritis,Querocotillo
42002185,Ana Diego Vargas López,2006-12-29,M,C.P.EL CUMBE,"náuseas, sensibilidad a la luz, dolor de cabeza",Migraña,Querocotillo
99750064,Ángel Gloria Sánchez Gutiérrez,1990-11-20,F,CASERIO GRAMALOTILLO,dolor de cabeza,,Querocotillo
65651084,Ana Isabel Castillo Mendoza,2000-07-25,M,OTRO. SANTA RITA NRO. PUERTA SN PISO.01,,COVID-19,Querocotillo
15051357,Marta Sara Martínez Herrera,2015-11-04,M,CASERIO GRAMALOTILLO,"dolor de cabeza, sensibilidad a la luz",Migraña,Querocotillo
28544647,Marta Olga López Delgado,2008-10-14,M,COMUNIDAD GRAMALOTILLO,"dolor de cabeza, náuseas, sensibilidad a la luz",Migraña,Querocotillo
71049973,Carlos Natalia Rojas Flores,1992-04-20,M,SAN ISIDRO,"dolor de cabeza, sensibilidad a la luz, náuseas",Migraña,Querocotillo
51121500,José Laura Paredes Gutiérrez,1990-06-26,M,C.POBLADO EL CUMBE,"sed excesiva, micción frecuente",Migraña,Querocotillo
72664152,Jesús Torres Ramírez,1971-08-11,M,GRAMALOTILLO,"sed excesiva, micción frecuente",Diabetes,Querocotillo
