DNI,Asegurado,FecNac,SEXO,CPP,síntomas,enfermedad detectada,Distrito
27242743,Lucía Marco Vargas Gutiérrez,1945-04-15,F,UNION SAN JOSE,"fiebre, congestión nasal, dolor de garganta",Gripe,San Juan de Cutervo
53905524,Patricia Pablo Martínez Rodríguez,1994-11-08,M,,"dificultad para respirar, pérdida de olfato",COVID-19,San Juan de Cutervo
64994559,Sandra Héctor González Martínez,1997-10-20,M,C.P.EL CUMBE,fiebre,,San Juan de Cutervo
71319803,Miguel Diego Martínez Delgado,1983-03-15,F,CASERIO SAN JOSE,"acidez estomacal, dolor abdominal",Gastritis,San Juan de Cutervo
58756458,Ángel Isabel Herrera Flores,1993-07-29,M,,,Gastritis,San Juan de Cutervo
52886860,Carmen Carolina Ramírez Paredes,2020-01-22,F,CENTRO POBLADO EL CUMBE,"tos, dolor de garganta",Gripe,San Juan de Cutervo
98420292,Sandra Sara Torres Silva,1983-06-13,M,CASERIO YAPANA,"congestión nasal, fiebre",Gripe,San Juan de Cutervo
24654122,Carmen Laura Mendoza Paredes,1981-04-20,M,EL CUMBE,"tos, fiebre, dolor de garganta",Gripe,San Juan de Cutervo
52833853,Luis Pablo Rodríguez Paredes,2013-02-21,M,CHIPLE,fiebre,,San Juan de Cutervo
78395869,Yolanda Roberto Mendoza Flores,1993-09-05,M,CASERIO SAN JOSE DE LIRIO,"fiebre, pérdida de olfato",COVID-19,San Juan de Cutervo
20522883,Carmen Claudia Delgado García,1975-10-03,M,,,,San Juan de Cutervo
76378456,Jesús Pablo Rojas Ramírez,2020-03-05,F,CHURAZ,,,San Juan de Cutervo
52446639,Carlos Luisa Vargas Cruz,2023-04-18,F,CALLAYUC,"cansancio, sed excesiva, micción frecuente",Diabetes,San Juan de Cutervo
70876492,Rosa Raúl Delgado González,1989-12-30,M,CASERIO MERENDANA,,,San Juan de Cutervo
95426823,Patricia Diego Martínez Rodríguez,2003-01-06,F,SAN JUAN BAUTISTA,"opresión en el pecho, sibilancias, dificultad para respirar",Asma,San Juan de Cutervo
47386087,Jesús Carolina Castillo Rodríguez,1979-10-18,M,CASERIO CHONTAS,"dolor de cabeza, mareos, visión borrosa",Hipertensión,San Juan de Cutervo
