DNI,Asegurado,FecNac,SEXO,CPP,síntomas,enfermedad detectada,Distrito
56947258,Verónica Claudia Cruz González,1963-06-21,F,,"fiebre, tos, congestión nasal",Gripe,Santo Tomás
82493824,Patricia Andrés Gutiérrez Flores,1995-06-16,F,CAVICO,,Diabetes,Santo Tomás
64055880,Carlos Gutiérrez García,2002-02-04,M,SAN FRANCISCO,micción frecuente,Gastritis,Santo Tomás
71298936,Lucía Silva Pérez,1999-02-20,M,CASERIO MERENDANA,"dolor de garganta, congestión nasal",Gripe,Santo Tomás
11087233,Ana Natalia Silva Gutiérrez,2020-01-22,F,CENTRO POBLADO EL CUMBE,"tos, dolor de garganta",Gripe,Santo Tomás
25038971,Luis Natalia Rojas Paredes,2013-05-20,F,OTRO EL CUMBE NRO.SN BLOQUE. PISO.02 INTERIOR.  MZA.  LOTE.,"tos, dolor de garganta, fiebre",Gripe,Santo Tomás
75026975,Verónica Andrés Castillo García,2001-10-12,F,OTRO. CAMINO A CHORRILLOS NRO. PUERTA SN PISO.01,"sensibilidad a la luz, náuseas, dolor de cabeza",Migraña,Santo Tomás
83198135,Verónica Pablo Martínez Vargas,1988-11-16,F,EL CUMBE,"cansancio, micción frecuente",Migraña,Santo Tomás
28893458,Miguel Alberto González Torres,2014-07-05,M,PUQUIO,"náuseas, dolor de cabeza, sensibilidad a la luz",Migraña,Santo Tomás
45878242,Verónica Natalia García Pérez,2001-02-21,F,CASERIO SALLOC,"náuseas, dolor abdominal, acidez estomacal",Gastritis,Santo Tomás
87348198,Marta Silva González,1995-09-03,M,SECTOR EL CAMPO,"dolor de cabeza, náuseas",Migraña,Santo Tomás
71125795,Lucía David Sánchez Herrera,1935-06-28,F,EL SALLOC,"sensibilidad a la luz, náuseas",Migraña,Santo Tomás
21664711,Juan Héctor Flores González,1965-04-15,M,EL CUMBE,"micción frecuente, cansancio, sed excesiva",Diabetes,Santo Tomás
66992927,José Pablo Flores Vargas,1966-07-03,M,SAN JUAN BAUTISTA,"sibilancias, opresión en el pecho",Asma,Santo Tomás
57748528,Juan Carolina Ramírez Sánchez,1975-01-24,M,CARR. A CUTERVO NRO. PUERTA SN PISO.01,"fiebre, tos, congestión nasal",Gripe,Santo Tomás
84657337,Rosa Gloria Flores Rodríguez,2000-05-13,F,,"dolor de cabeza, náuseas",Migraña,Santo Tomás
14347237,Ángel Marco Cruz Gutiérrez,2010-09-07,M,SAN FRANCISCO,"fiebre, dificultad para respirar, pérdida de olfato",COVID-19,Santo Tomás
36313117,Yolanda Héctor Mendoza Flores,2014-06-13,F,SAN ANTONIO DE VILUCO,"sed excesiva, cansancio",Diabetes,Santo Tomás
84457560,Ana Isabel Sánchez Martínez,2007-02-22,M,OTRO CAMINO AL LIMON NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,dificultad para respirar,Gastritis,Santo Tomás
81014198,María Natalia Martínez Pérez,2001-12-06,F,CALLAYUC,"dificultad para respirar, sibilancias, opresión en el pecho",Asma,Santo Tomás
59646703,Luis Luisa Ramírez Rodríguez,2002-12-22,F,CASERIO SAN JOSE,,,Santo Tomás
57601272,Yolanda Natalia Delgado López,1969-02-16,F,SAN JUAN BAUTISTIA,"micción frecuente, sed excesiva",Diabetes,Santo Tomás
28087554,Jesús Andrés Rojas Gutiérrez,2013-12-06,M,EL CUMBE,"dolor abdominal, acidez estomacal",Hipertensión,Santo Tomás
59070107,Jorge David Castillo Flores,1948-09-24,F,05PUQUIO,"dificultad para respirar, tos seca",COVID-19,Santo Tomás
24967817,Pedro Claudia García Paredes,2007-11-26,F,SAN JOSE DE LIRIO,"sed excesiva, micción frecuente, cansancio",Diabetes,Santo Tomás
84826080,María Sara Flores González,1993-04-02,M,EL CUMBE,"sed excesiva, cansancio, micción frecuente",Diabetes,Santo Tomás
31190361,Jesús Gloria Rojas Gutiérrez,1981-09-07,M,SAN ISIDRO,"mareos, visión borrosa, dolor de cabeza",Hipertensión,Santo Tomás
93137075,Jesús Isabel Torres Gutiérrez,1937-10-08,M,SAN JOSE,"dolor de cabeza, mareos, visión borrosa",Hipertensión,Santo Tomás
30451085,Jesús Carolina López Cruz,2018-06-16,F,OTRO. UNION SAN JOSE NRO. PUERTA SN PISO.01,"náuseas, dolor de cabeza",Migraña,Santo Tomás
76214905,Fernando Raúl Vargas Ramírez,1974-07-14,M,EL CUMBE,"mareos, dolor de cabeza",Hipertensión,Santo Tomás
92352589,Rosa Pablo Sánchez Rojas,1978-12-23,F,SAN ISIDRO,"fiebre, congestión nasal",Gripe,Santo Tomás
88583933,Yolanda Rodríguez Herrera,2007-08-05,F,SAN JOSE DE LIRIO,,Migraña,Santo Tomás
18186480,Verónica Natalia Torres Martínez,1962-02-28,F,OTRO PERLAMAYO NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE. km.,"tos seca, pérdida de olfato",COVID-19,Santo Tomás
90924147,Patricia Eduardo Cruz Mendoza,1982-02-14,F,CASERIO SAN JUAN BAUTISTA,"fiebre, dificultad para respirar, tos seca",COVID-19,Santo Tomás
33863481,Jorge Natalia Pérez López,2009-09-28,F,caserio la llangua,"dolor abdominal, náuseas",Gastritis,Santo Tomás
92556343,Jorge Raúl Silva Pérez,1976-11-16,M,CRR. PUQUIO VILUCO SN   PISO 01,"mareos, visión borrosa",Alergia,Santo Tomás
51799182,Yolanda Isabel Martínez Cruz,2020-09-27,M,CASERIO  SALLOF,"picazón, estornudos",Alergia,Santo Tomás
98320157,Carmen Gloria Pérez Silva,2015-01-17,M,OTRO SANTA RITA NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"acidez estomacal, náuseas",Gastritis,Santo Tomás
25461223,Rosa Pérez Rodríguez,2006-01-24,M,VILUCO,"fiebre, tos seca, pérdida de olfato",COVID-19,Santo Tomás
59114411,Yolanda Eduardo Castillo Silva,1977-06-12,F,EL CUMBE,"dolor de cabeza, sensibilidad a la luz, náuseas",Migraña,Santo Tomás
80632936,Jesús Marco Cruz Castillo,1981-11-19,M,FILADELFIA,"picazón, estornudos",Diabetes,Santo Tomás
69939052,Fernando Andrés Rojas Pérez,1959-09-11,M,SAN FRANCISCO,"dolor de cabeza, mareos, visión borrosa",Hipertensión,Santo Tomás
18022065,Ana Pablo Gutiérrez Delgado,1987-09-10,F,EL CUMBE,"tos, dolor de garganta",Gripe,Santo Tomás
59537907,Pedro Sara Rodríguez Pérez,1998-11-19,F,EL CUMBE,"pérdida de olfato, tos seca",COVID-19,Santo Tomás
93591287,María David Herrera Rojas,2004-01-12,F,MERENDANA,dolor de cabeza,,Santo Tomás
13831190,Lucía Mónica Rodríguez Herrera,1975-01-20,M,SAN JUAN BAUTISTA,tos,,Santo Tomás
96625540,Luis Sara Flores Mendoza,2014-09-05,F,SECTOR EL CAMPO,,,Santo Tomás
78248385,Carlos Alberto Paredes Delgado,1985-05-16,F,SANTA FE,fiebre,,Santo Tomás
98605165,Rosa Gloria Gutiérrez Ramírez,2001-08-30,F,OTRO. VILUCO NRO. PUERTA SN PISO.01,"sed excesiva, micción frecuente",Gripe,Santo Tomás
24673214,Yolanda Luisa Delgado Herrera,2014-01-03,M,CALLAYUC,"dificultad para respirar, opresión en el pecho, sibilancias",Asma,Santo Tomás
24501855,Luis Sara Rodríguez Rojas,2022-06-12,M,CASERIO SAN ISIDRO,"dolor de cabeza, sensibilidad a la luz",Migraña,Santo Tomás
81643356,Lucía Gloria Gutiérrez Flores,1994-06-09,F,PUQUIO,"dolor abdominal, acidez estomacal",Gastritis,Santo Tomás
95920064,Rosa Olga Pérez Vargas,1994-01-28,F,CALLE. CALLAYUC NRO. PUERTA SN PISO.01,"acidez estomacal, dolor abdominal, náuseas",Gastritis,Santo Tomás
44691557,Rosa Natalia Gutiérrez Sánchez,1996-04-20,M,CASERIO BATANCILLO,"dolor abdominal, acidez estomacal, náuseas",Gastritis,Santo Tomás
91091085,María Mónica Flores Ramírez,2001-07-10,M,BATANCILLO,"tos seca, fiebre",COVID-19,Santo Tomás
