DNI,Asegurado,FecNac,SEXO,CPP,síntomas,enfermedad detectada,Distrito
54287625,Yolanda Diego Paredes López,2024-05-24,M,CALLE COMERCIO S/N,,,Socota
21175087,Verónica Laura Rodríguez Cruz,1969-06-25,F,C.P.EL CUMBE,dolor de cabeza,,Socota
97761659,Sandra Eduardo Delgado Ramírez,1960-05-26,M,CHONTAS,"dolor de cabeza, visión borrosa",Hipertensión,Socota
82649637,Patricia Mónica Cruz García,1991-12-27,F,CHONTAS,"pérdida de olfato, dificultad para respirar",COVID-19,Socota
31881609,Luis Alberto Gutiérrez Rodríguez,1999-01-22,F,OTRO. LA LIBERTAD NRO. PUERTA SN PISO.01,"sensibilidad a la luz, dolor de cabeza, náuseas",Migraña,Socota
96326660,José Alberto Delgado Pérez,1997-03-04,M,CARR. A CUMBE NRO. PUERTA SN PISO.01,"náuseas, dolor abdominal, acidez estomacal",Gastritis,Socota
31687135,Fernando Roberto López Paredes,1979-05-11,M,OTRO SAN JUAN BAUTISTA NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE. km.,,,Socota
44510549,Jesús Luisa Delgado Vargas,2003-02-11,F,LA PALMA,"estornudos, picazón",Alergia,Socota
14110068,Luis Marco Sánchez López,1988-08-29,M,PJ. EL LIMON NRO. PUERTA SN PISO.01,"estornudos, picazón, ojos llorosos",Alergia,Socota
97748047,Fernando Héctor Flores Sánchez,1961-11-21,F,CASERIO GRAMALOTILLO,"dificultad para respirar, fiebre",COVID-19,Socota
46126379,Yolanda Roberto González Ramírez,1989-04-26,M,SAN JUAN DE CHORRILLOS,,,Socota
64360511,Yolanda Laura Silva López,2001-09-03,F,MERENDANA,"cansancio, micción frecuente, sed excesiva",Diabetes,Socota
92274555,Jorge Sara Gutiérrez González,2012-10-18,M,JR COMERCIO SN,"dolor de cabeza, sensibilidad a la luz, náuseas",Migraña,Socota
99887066,Ana Héctor Flores Pérez,2021-01-17,M,CASERIO EL PUQUIO,"ojos llorosos, estornudos, picazón",Alergia,Socota
87975964,Carmen Sara Herrera Sánchez,2016-11-14,F,CALLE COMERCIO NRO.SN BLOQUE. PISO.02 INTERIOR.  MZA.  LOTE.,fiebre,,Socota
71339481,Carlos Eduardo Mendoza Martínez,2014-08-26,F,CASERIO EL PORVENIR,dolor de garganta,Hipertensión,Socota
46298643,Sandra Roberto Torres Rojas,1991-01-22,M,,"náuseas, dolor abdominal, acidez estomacal",Gastritis,Socota
19725013,Fernando Martínez Cruz,2021-12-11,F,CAS. EL SALLOF,"micción frecuente, cansancio",Diabetes,Socota
43381744,Jorge Carolina Rodríguez Torres,2020-04-24,F,CENTRO POBLADO SAN JOSE,dolor de cabeza,,Socota
76138049,Luis Silva Sánchez,1992-08-02,M,SAN ISIDRO,"picazón, estornudos, ojos llorosos",Alergia,Socota
56601096,Luis Isabel Torres Silva,2001-10-28,M,EL CUMBE,"estornudos, picazón, ojos llorosos",Alergia,Socota
73120912,Jorge Isabel Rojas Herrera,1987-03-27,M,GRAMALOTILLO,"opresión en el pecho, dificultad para respirar",Asma,Socota
89067560,Carmen Héctor Rojas Cruz,1979-05-11,M,OTRO SAN JUAN BAUTISTA NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE. km.,,,Socota
91828125,Jesús Pablo Flores Torres,2021-11-04,M,CASERIO VILUCO,"sensibilidad a la luz, náuseas",Migraña,Socota
76882657,Luis Raúl López Mendoza,1976-08-07,M,EL CUMBE,tos,,Socota
87874542,Ángel Marco Rodríguez Torres,2024-03-07,M,CALLAYUC,"cansancio, micción frecuente",Diabetes,Socota
