DNI,Asegurado,FecNac,SEXO,CPP,síntomas,enfermedad detectada,Distrito
88621693,Sandra Natalia Torres Ramírez,1993-01-01,M,FILADELFIA,"dolor abdominal, acidez estomacal",Gastritis,Choros
10552713,Lucía Mónica García Rojas,2000-11-29,F,CASERIO YAPANA,"mareos, visión borrosa",Diabetes,Choros
32953730,Pedro Andrés Silva Torres,1963-08-30,F,CASERIO SAN JOSE,"picazón, estornudos",Alergia,Choros
49095429,Jesús Gloria Ramírez González,2000-03-13,F,OTRO BATANCILIO NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE. km.,"picazón, estornudos",Asma,Choros
42199742,Jesús Eduardo García Mendoza,2003-03-30,F,PUQUIO,"sibilancias, opresión en el pecho, dificultad para respirar",Asma,Choros
20632345,Lucía Carolina Cruz Martínez,2021-05-04,M,CALLE TUPAC AMARU S/N,"pérdida de olfato, tos seca, dificultad para respirar",COVID-19,Choros
66798689,Carmen Alberto González Herrera,2013-09-26,M,CASERIO SAN JOSE DE LIRIO,"fiebre, congestión nasal",Gripe,Choros
70269430,Juan Sara Castillo Silva,1983-11-30,M,SANTA RITA,"dolor de cabeza, náuseas",Asma,Choros
59240583,Fernando Eduardo Pérez Flores,1993-08-28,M,COMUNIDAD DE SAN JUAN DE CHORRILLOS,"dolor de cabeza, náuseas",Gripe,Choros
96337287,Fernando Raúl Vargas Flores,1967-03-10,F,SAN ANTONIO DE VILUCO,"opresión en el pecho, sibilancias, dificultad para respirar",Asma,Choros
57725095,Lucía Gloria Sánchez Pérez,2004-08-21,F,YAPANA,"dolor abdominal, acidez estomacal",Gastritis,Choros
71566723,Pedro Rodríguez Delgado,2006-08-13,F,CASERIO LLANGUA,,,Choros
61535859,Sandra Isabel Torres Herrera,2020-07-27,M,CASERIO SANTA RITA,"dificultad para respirar, tos seca, pérdida de olfato",COVID-19,Choros
34098356,Ana Pablo Flores Rodríguez,2023-02-10,M,CALLAYUC,"dolor de cabeza, visión borrosa",COVID-19,Choros
69889697,Verónica David Herrera Delgado,1995-03-17,F,OTRO CHORRILLOS NRO.SN BLOQUE. PISO.02 INTERIOR.  MZA.  LOTE. KM.,"fiebre, pérdida de olfato, dificultad para respirar",COVID-19,Choros
49815118,Ana Isabel Torres García,1979-09-09,F,SAN JOSE DE LIRIO,"tos, fiebre, congestión nasal",Gripe,Choros
84712052,Miguel Roberto García Herrera,1991-08-16,F,CALLAYUC,sibilancias,COVID-19,Choros
43552497,Lucía Sara Vargas Delgado,1925-03-05,F,SAN JUAN BAUTISTA,"náuseas, dolor de cabeza",Migraña,Choros
87961261,Rosa Héctor Ramírez Pérez,1991-08-15,M,AV. VISTA ALEGRE NRO. PUERTA SN PISO.01,"acidez estomacal, náuseas, dolor abdominal",Gastritis,Choros
18000058,Yolanda Silva Gutiérrez,1972-05-20,M,OTRO SANTA RITA NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"sensibilidad a la luz, náuseas, dolor de cabeza",Migraña,Choros
25649810,Patricia Olga Ramírez Paredes,1991-05-20,M,CASERIO SALLOF,fiebre,,Choros
40408094,Juan Natalia Martínez Sánchez,1939-06-03,M,CASERIO FLOR DE LIRIO,,,Choros
16604609,María Andrés Paredes Mendoza,2017-04-28,M,,"dificultad para respirar, pérdida de olfato",COVID-19,Choros
44239022,Patricia Alberto Mendoza Vargas,1986-02-10,M,VILUCO,"dolor de garganta, tos",Gripe,Choros
52990082,Miguel Roberto García Rojas,1987-12-10,M,OTRO. SECTOR LAS NARANJAS NRO. PUERTA SN PISO.01,,,Choros
90228086,Luis Sara Martínez Mendoza,1988-07-08,M,,"ojos llorosos, estornudos, picazón",Alergia,Choros
48382297,María Roberto Ramírez López,1976-10-09,F,CASERIO CUCHEA,"tos seca, fiebre",COVID-19,Choros
