DNI,Asegurado,FecNac,SEXO,CPP,síntomas,enfermedad detectada,Distrito
33720512.0,Miguel Alberto Gutiérrez Mendoza,1985-08-29,M,SANTA FE,"náuseas, sensibilidad a la luz",Migraña,Cutervo
75936233.0,Carlos Natalia Castillo Torres,2021-12-30,F,CASERIO UNION SAN JOSE,"cansancio, micción frecuente",Gastritis,Cutervo
44448865.0,Fernando Raúl Delgado Rojas,1984-12-05,F,C.P.EL CUMBE,"picazón, estornudos, ojos llorosos",Alergia,Cutervo
68455083.0,Fernando Mónica Flores Rojas,2013-01-26,M,CASERIO SAN JUAN BAUTISTA,"cansancio, sed excesiva",Diabetes,Cutervo
72601308.0,Patricia Mónica García Torres,1992-03-18,F,OTRO SANTA RITA NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,fiebre,,Cutervo
63958597.0,Lucía Gloria Gutiérrez Vargas,2017-05-11,F,OTRO. TUPAC AMARU NRO. PUERTA SN PISO.01,"sibilancias, dificultad para respirar",Asma,Cutervo
89827516.0,Verónica Diego Ramírez Torres,1992-09-09,M,,"sensibilidad a la luz, dolor de cabeza",Migraña,Cutervo
56024817.0,Pedro Eduardo Paredes Herrera,1966-01-03,F,YAPANA,"picazón, estornudos, ojos llorosos",Alergia,Cutervo
10720633.0,Jesús Carolina Gutiérrez Rodríguez,1991-08-08,F,YAPANA,"ojos llorosos, picazón",Alergia,Cutervo
52568253.0,Patricia Carolina Rodríguez Cruz,1993-11-22,M,CHORRILLOS,,,Cutervo
61200249.0,Ana Laura Cruz Delgado,1974-06-03,F,CALLAYUC,"dolor de cabeza, mareos",Hipertensión,Cutervo
40006334.0,Jesús Carolina García Castillo,2007-05-18,F,PAMPA GRANDE,"dificultad para respirar, pérdida de olfato",COVID-19,Cutervo
47594145.0,Juan Natalia Silva Mendoza,1995-03-29,M,OTRO. ANEXO LA TOMA NRO. PUERTA SN PISO.01,"visión borrosa, mareos",Migraña,Cutervo
77423477.0,José Luisa Gutiérrez Silva,1947-04-06,M,SAN ISIDRO,,Diabetes,Cutervo
87455231.0,Yolanda David Herrera Paredes,1942-08-20,M,CASERIO UNION SAN JOSE,"mareos, visión borrosa, dolor de cabeza",Hipertensión,Cutervo
33960139.0,Carlos Sara Martínez García,2008-10-02,M,CASERIO SAN JOSE,ojos llorosos,Hipertensión,Cutervo
92795976.0,Luis Roberto Mendoza Vargas,1934-03-09,M,CHURAZ,"dolor abdominal, acidez estomacal, náuseas",Gastritis,Cutervo
73010626.0,Marta Marco García Paredes,2006-04-02,F,OTRO SECTOR EL CAMPO NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"dolor de cabeza, sensibilidad a la luz",Migraña,Cutervo
68596957.0,Jesús Silva García,1963-03-21,M,LA PALMA,"fiebre, tos",Hipertensión,Cutervo
15839823.0,Pedro Sara Herrera Ramírez,2020-01-14,F,CUCHEA,"náuseas, sensibilidad a la luz",Migraña,Cutervo
81089020.0,José Raúl González Flores,1985-07-16,F,CASERIO SAN JOSE DE LIRIO,dolor de cabeza,,Cutervo
31335999.0,Verónica Laura González Gutiérrez,2021-01-01,M,CENTRO POBLADO CUMBE,"acidez estomacal, dolor abdominal",Gastritis,Cutervo
54088588.0,Jesús Cruz Mendoza,1943-03-25,M,05SAN ANTONIO DE VILUCO,dolor de cabeza,,Cutervo
68493046.0,María Laura Gutiérrez Torres,1981-03-18,F,,"visión borrosa, dolor de cabeza",Hipertensión,Cutervo
28171294.0,Jesús Natalia González Rojas,2009-11-25,F,CASERIO CHONTAS BAJAS,"visión borrosa, mareos",Hipertensión,Cutervo
