DNI,Asegurado,FecNac,SEXO,CPP,síntomas,enfermedad detectada,Distrito
76654212,Carmen Gloria Torres López,1945-03-24,F,,,,La Ramada
59369809,Fernando Raúl Silva Ramírez,1997-02-13,M,OTRO. BATANCILLO NRO. PUERTA SN PISO.01,"visión borrosa, dolor de cabeza",Hipertensión,La Ramada
51867433,Patricia Olga Paredes García,1952-05-28,M,,,,La Ramada
54811093,Marta Héctor Sánchez Rodríguez,1948-08-24,F,OTRO CASERIO HUERTILLAS NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"dificultad para respirar, pérdida de olfato, tos seca",COVID-19,La Ramada
59091095,Verónica Flores Silva,2006-06-10,F,,"tos, fiebre",Gripe,La Ramada
44687209,Ángel Héctor Torres Martínez,2008-05-30,M,comunidad san isidro,"mareos, dolor de cabeza",Hipertensión,La Ramada
60543576,Lucía Olga Herrera Torres,1972-10-09,M,,"mareos, dolor de cabeza",Hipertensión,La Ramada
77827503,Fernando Roberto Flores González,1987-12-10,M,OTRO. SECTOR LAS NARANJAS NRO. PUERTA SN PISO.01,,,La Ramada
55398662,María Luisa Mendoza Rodríguez,1976-08-02,F,EL CUMBE,"tos seca, dificultad para respirar",COVID-19,La Ramada
61083866,Luis Carolina Flores López,1996-11-05,M,,"tos seca, pérdida de olfato",COVID-19,La Ramada
34560147,Carlos Sara Rojas Mendoza,1996-07-18,M,CALLE. COMERCIO NRO. PUERTA SN PISO.02,"sed excesiva, cansancio",Diabetes,La Ramada
96977178,Luis Raúl Ramírez González,1988-10-09,F,CASERIO YAPANA,"picazón, estornudos",Alergia,La Ramada
14917152,Pedro Carolina Paredes Silva,2018-04-15,M,OTRO EL CUMBE NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"pérdida de olfato, fiebre",Diabetes,La Ramada
12992714,Carlos Luisa Ramírez López,1992-06-15,F,CASERIO EL PUQUIO,"dolor abdominal, náuseas, acidez estomacal",Gastritis,La Ramada
14348090,Miguel Gloria Rodríguez Martínez,1978-11-26,M,CASERIO CHONTAS BAJAS,"acidez estomacal, náuseas",COVID-19,La Ramada
63474356,Carlos Carolina Ramírez Rodríguez,1970-09-10,F,CASERIO CUCHEA,"micción frecuente, cansancio",Diabetes,La Ramada
42707807,Sandra Laura González Mendoza,1985-03-14,M,CUCHEA,"dolor de cabeza, sensibilidad a la luz",Migraña,La Ramada
88357306,María Alberto López Cruz,2015-07-06,F,OTRO. CHAQUIMAYO NRO. PUERTA SN PISO.01,"sibilancias, opresión en el pecho, dificultad para respirar",Asma,La Ramada
37796878,Ángel David Rojas Flores,2020-06-29,F,CASERIO VILUCO,,,La Ramada
38513129,Juan Luisa Ramírez Paredes,1980-08-04,F,CHONTAS ALTAS,,Asma,La Ramada
68332377,Carlos Olga Rojas Flores,2006-08-01,M,CUCHEA,"acidez estomacal, dolor abdominal, náuseas",Gastritis,La Ramada
90873639,Marta Raúl Pérez Torres,1995-08-25,F,EL CUMBE,"náuseas, dolor abdominal, acidez estomacal",Gastritis,La Ramada
63239037,Lucía Carolina Torres Pérez,1962-09-23,M,OTRO SAN FRANCISCO NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"dificultad para respirar, tos seca, fiebre",COVID-19,La Ramada
17151335,Patricia Eduardo Paredes Torres,2013-12-14,F,EL CUMBE,"sibilancias, dificultad para respirar",Gastritis,La Ramada
85934081,Jesús Marco Sánchez García,2010-05-21,F,C.P.EL CUMBE,tos,Migraña,La Ramada
83445658,Verónica Mónica Silva Gutiérrez,1994-01-28,F,CALLE. CALLAYUC NRO. PUERTA SN PISO.01,"acidez estomacal, dolor abdominal, náuseas",Gastritis,La Ramada
20632975,Verónica Eduardo Ramírez Sánchez,1988-12-28,M,CASERIO VILUCO,,Diabetes,La Ramada
81503711,Yolanda Diego García Herrera,2001-11-13,F,CASERIO BATANCILLO,"opresión en el pecho, sibilancias, dificultad para respirar",Asma,La Ramada
48877612,José Laura Pérez Herrera,1999-04-20,M,OTRO. SAN JOSE NRO. PUERTA SN BLOQUE.0 PISO.02,,Asma,La Ramada
78676927,Ángel Marco García Gutiérrez,2009-08-13,M,CASERIO EL PUQUIO,,,La Ramada
90882530,Yolanda Laura Herrera Mendoza,2020-09-27,M,CASERIO  SALLOF,"picazón, estornudos",Alergia,La Ramada
