DNI,Asegurado,FecNac,SEXO,CPP,síntomas,enfermedad detectada,Distrito
46767313,Pedro Roberto Vargas Rojas,2013-07-23,F,SAN ISIDRO,opresión en el pecho,Gastritis,Pimpingos
99033139,Luis Claudia Castillo Rojas,2023-12-10,M,SAN JOSÉ DE LIRIO,"visión borrosa, mareos",Hipertensión,Pimpingos
59843051,Carlos Alberto Mendoza Paredes,1971-04-08,M,CHURAZ,"opresión en el pecho, dificultad para respirar, sibilancias",Asma,Pimpingos
95026525,Yolanda Laura Martínez Flores,2010-07-02,F,SAN JOSE DE LIRIO,tos,,Pimpingos
80125947,Rosa Laura Flores Rodríguez,2004-03-24,M,05EL PORVENIR,"sed excesiva, micción frecuente",Diabetes,Pimpingos
17036129,Patricia Natalia González Vargas,1997-12-25,M,OTRO. SAN JUAN DE DIOS NRO. PUERTA SN PISO.02,"sed excesiva, cansancio, micción frecuente",Diabetes,Pimpingos
40968348,Carlos Pablo García López,1988-11-12,M,SAN ISIDRO,,Gastritis,Pimpingos
77293283,Marta Pablo Herrera Mendoza,1988-06-07,F,FILADELFIA,náuseas,Asma,Pimpingos
79234816,Carlos David López Castillo,1977-10-17,F,CASERIO SECTOR DEL CAMPO,sensibilidad a la luz,COVID-19,Pimpingos
31598186,Luis Carolina Castillo Ramírez,2007-11-25,M,HUABAL,"estornudos, picazón",Asma,Pimpingos
33031009,Pedro Isabel Ramírez Herrera,2012-02-22,F,OTRO. SECTOR EL CAMPO NRO. PUERTA SN PISO.01,"sed excesiva, cansancio, micción frecuente",Diabetes,Pimpingos
12919799,Carlos Pablo Torres Sánchez,1995-08-14,M,OTRO. PUQUIO NRO. PUERTA SN PISO.01,"ojos llorosos, picazón",Alergia,Pimpingos
27140904,Jesús Mónica Vargas Herrera,2005-09-06,M,C.P.EL CUMBE,"sed excesiva, micción frecuente, cansancio",Diabetes,Pimpingos
99792078,Jesús Roberto Cruz Rodríguez,1998-12-13,M,OTRO. CALLAYUC NRO. PUERTA SN PISO.01,,Alergia,Pimpingos
33676799,Patricia Claudia López Flores,1987-02-23,F,CHORRILLOS,picazón,Diabetes,Pimpingos
77136279,Jorge Andrés Delgado Torres,1963-06-28,F,CALLAYUC,"sed excesiva, cansancio, micción frecuente",Diabetes,Pimpingos
76476057,Ana Sara García Sánchez,1961-10-02,M,OTRO. SECTOR EL CAMPO NRO. PUERTA SN PISO.01,cansancio,Migraña,Pimpingos
75078852,Pedro Sara Gutiérrez Ramírez,1999-05-01,F,CHURAZ,opresión en el pecho,Diabetes,Pimpingos
64093071,María Raúl García González,2021-02-22,F,CASERIO PUQUIO,"opresión en el pecho, sibilancias, dificultad para respirar",Asma,Pimpingos
67778732,José Raúl Martínez Silva,2018-05-19,M,OTRO CUMBE NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"cansancio, micción frecuente, sed excesiva",Diabetes,Pimpingos
61010045,Carlos Héctor Delgado Herrera,1985-03-28,M,OTRO. AGUA DULCE NRO. PUERTA SN PISO.01,sibilancias,Alergia,Pimpingos
52444112,Juan Natalia Pérez Delgado,1996-04-19,F,OTRO LIMON  NRO: SN PISO: 01,,,Pimpingos
68044126,Sandra Flores López,2006-05-23,F,CUCHEA,"picazón, estornudos",Alergia,Pimpingos
77320761,Miguel Alberto Castillo Delgado,1991-08-08,F,YAPANA,"ojos llorosos, picazón",Alergia,Pimpingos
76209373,Sandra Mónica Castillo Gutiérrez,2014-04-23,F,SAN JOSE DE LIRIO,"opresión en el pecho, dificultad para respirar",Asma,Pimpingos
98927100,Sandra Eduardo Mendoza Vargas,2007-12-04,F,EL SALLOF,sed excesiva,Alergia,Pimpingos
37213007,Carmen David Gutiérrez López,2014-10-26,M,CASERIO EL LIMON,"sibilancias, dificultad para respirar",Asma,Pimpingos
97453126,Patricia Alberto Rojas Paredes,2004-11-08,F,CASERIO SALLOC,"cansancio, sed excesiva",Diabetes,Pimpingos
56606415,Luis Claudia Pérez Vargas,2005-06-07,F,EL CUMBE,"congestión nasal, tos",Gripe,Pimpingos
52404143,Miguel Héctor Delgado Cruz,1987-10-22,F,OTRO OTRO NRO.0000 BLOQUE.000 PISO.01 INTERIOR. 000 MZA. 000 LOTE.000,"náuseas, dolor de cabeza, sensibilidad a la luz",Migraña,Pimpingos
91041209,Ana Héctor Cruz Castillo,1965-09-28,M,CASERIO SAN JOSE,"estornudos, ojos llorosos, picazón",Alergia,Pimpingos
66735627,Marta Laura Vargas Castillo,2019-08-04,F,OTRO. PAMPA GRANDE NRO. PUERTA SN PISO.01,"dificultad para respirar, opresión en el pecho",Asma,Pimpingos
59123016,Fernando Sara Cruz Silva,1991-04-01,F,EL CUMBE,"acidez estomacal, dolor abdominal, náuseas",Gastritis,Pimpingos
81634890,Juan Carolina Pérez Delgado,1951-04-11,M,CASERIO YAPANA,"pérdida de olfato, fiebre",COVID-19,Pimpingos
12473232,Juan Raúl Ramírez Torres,2010-01-23,F,AV COMERCIO SN,"acidez estomacal, dolor abdominal",Gastritis,Pimpingos
27053863,Carmen Pablo Mendoza Rojas,1995-01-28,M,OTRO. UNION SAN JOSE NRO. PUERTA SN PISO.01,"fiebre, dificultad para respirar, pérdida de olfato",COVID-19,Pimpingos
79735485,Fernando Natalia Rojas Delgado,1947-04-06,M,SAN ISIDRO,,Diabetes,Pimpingos
28457565,Yolanda Gloria Gutiérrez Cruz,2016-01-27,F,CALLE. CALLAYUC NRO. PUERTA SN PISO.02,,,Pimpingos
38476169,Luis Eduardo Martínez Paredes,1966-05-01,F,COMERCIO SN,"micción frecuente, cansancio",Diabetes,Pimpingos
49972213,Pedro Castillo Paredes,2000-03-16,M,SAN JUAN BAUTISTA,"dolor abdominal, acidez estomacal",Gastritis,Pimpingos
20528986,Patricia Natalia López Ramírez,2002-03-15,M,EL CUMBE,"ojos llorosos, picazón, estornudos",Alergia,Pimpingos
88922873,Fernando Eduardo Paredes Gutiérrez,1996-04-18,F,CASERIO SAN JUAN DE CHORRILLOS,sensibilidad a la luz,COVID-19,Pimpingos
55280363,Verónica Alberto Cruz Silva,1954-11-11,M,CASERIO FILADELFIA,"náuseas, acidez estomacal",Gastritis,Pimpingos
71419252,Carlos Olga Herrera Castillo,1983-04-15,F,EL CUMBE,,,Pimpingos
72305027,Pedro Raúl Silva Rojas,1989-02-05,M,OTRO. SECTOR LA PALMA NRO. PUERTA SN PISO.01,"dolor de cabeza, visión borrosa, mareos",Hipertensión,Pimpingos
17493210,Fernando Diego Flores Ramírez,1994-12-26,M,OTRO. SECTOR SANTA ROSA NRO. PUERTA SN PISO.01,tos,,Pimpingos
28267148,Carlos Sara Gutiérrez Rojas,2010-08-11,F,VILUCO,"visión borrosa, mareos, dolor de cabeza",Hipertensión,Pimpingos
90861577,Rosa Marco Delgado Martínez,1978-09-20,M,OTRO. SAN JOSE DE LIRIO NRO. PUERTA SN PISO.02,,,Pimpingos
89924859,Rosa Luisa Sánchez Pérez,2024-06-23,M,CALLAYUC,"micción frecuente, sed excesiva",Diabetes,Pimpingos
96012692,Verónica Claudia López Flores,2006-04-12,M,SANJOSE DE LIRIO,"sed excesiva, micción frecuente",Gastritis,Pimpingos
59397420,Ana Eduardo Herrera Ramírez,2020-03-02,F,CASERIO SANTA RITA,"opresión en el pecho, sibilancias",Asma,Pimpingos
88877914,Fernando Gloria Pérez Vargas,2006-03-12,F,SAN JUAN BAUTISTA,"dolor de cabeza, náuseas",Migraña,Pimpingos
35834720,Carlos Laura Castillo López,1986-03-31,M,OTRO. SAN JOSE NRO. PUERTA SN PISO.01,"estornudos, picazón",Alergia,Pimpingos
29104714,Jorge Diego López Mendoza,1994-10-06,F,OTRO CHURAZ NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"picazón, estornudos",Migraña,Pimpingos
29516594,Luis Diego Paredes Vargas,2017-04-25,F,OTRO. CHORRILLOS NRO. PUERTA SN PISO.01,,,Pimpingos
92282006,María Claudia Delgado Rojas,2022-07-26,M,CALLAYUC,,,Pimpingos
70648226,José Gloria Mendoza Delgado,1993-11-10,M,OTRO SANTA RITA NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"sibilancias, dificultad para respirar",Asma,Pimpingos
90831187,María Laura Gutiérrez Rojas,2000-06-24,F,05SAN ISIDRO,"cansancio, sed excesiva, micción frecuente",Diabetes,Pimpingos
83123645,Patricia Claudia Pérez Silva,2017-08-13,M,OTRO SAN JOSE NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"fiebre, tos seca",COVID-19,Pimpingos
40141022,Lucía Diego Ramírez Martínez,2008-06-15,F,CHONTAS BAJAS,"sibilancias, dificultad para respirar, opresión en el pecho",Asma,Pimpingos
93340081,José Eduardo Gutiérrez Delgado,1956-12-21,M,EL CUMBE,"sed excesiva, micción frecuente",Diabetes,Pimpingos
59672851,Ana Carolina Paredes Martínez,2000-04-24,F,PUQUIO,"dolor de garganta, congestión nasal",Gripe,Pimpingos
79059731,Pedro Carolina García Delgado,1963-04-26,M,OTRO. COSTADO CHIRIMAYO NRO. PUERTA SN PISO.01,"sensibilidad a la luz, dolor de cabeza",Migraña,Pimpingos
64381273,José David Herrera Martínez,1983-04-25,F,CP EL CUMBE,"fiebre, congestión nasal",Gripe,Pimpingos
52495915,Verónica Andrés García Martínez,2004-10-16,F,CENTRO POBLADO EL CUMBE,"micción frecuente, cansancio",Diabetes,Pimpingos
14596039,Miguel Roberto Flores Rojas,1984-09-24,M,CASERIO SAN JOSE,"dolor de cabeza, sensibilidad a la luz",Migraña,Pimpingos
17814956,Marta Mónica Pérez Sánchez,2002-07-09,F,EL CUMBE,"micción frecuente, cansancio, sed excesiva",Diabetes,Pimpingos
97271502,Sandra Roberto Torres Herrera,1999-02-04,F,CASERIO SAN JOSE DE LIRIO,náuseas,Hipertensión,Pimpingos
11022172,Luis Héctor García Flores,1945-10-10,F,CHONTAS BAJAS,"mareos, visión borrosa",Hipertensión,Pimpingos
17489162,Carmen Sara Martínez Mendoza,1962-02-17,M,SAN JOSE DE LIRIO,"opresión en el pecho, dificultad para respirar",Asma,Pimpingos
93182906,Sandra Ramírez Gutiérrez,1985-07-29,M,,"micción frecuente, cansancio",Diabetes,Pimpingos
92396337,Lucía Pablo Pérez Paredes,2004-09-20,F,CASERIO SAN ISIDRO,"cansancio, sed excesiva",Diabetes,Pimpingos
50494541,Sandra Isabel Rodríguez Flores,1995-02-25,M,CASERIO SAN ISIDRO,"estornudos, ojos llorosos",Diabetes,Pimpingos
59000564,Ana Andrés Mendoza Cruz,2013-12-24,M,EL CUMBE,congestión nasal,Gripe,Pimpingos
54738171,Miguel Pablo Mendoza Flores,1967-05-07,M,OTRO CAMINO A LA ANTENA CLARO SN   PISO 01,dolor de cabeza,Gripe,Pimpingos
17314049,Carmen Héctor Vargas López,2022-11-17,M,BATANCILLO,"dolor abdominal, acidez estomacal",Gastritis,Pimpingos
80855380,Rosa Martínez López,1978-03-17,M,CALLAYUC,"dificultad para respirar, fiebre",Alergia,Pimpingos
10528884,Jesús Laura Paredes Vargas,1996-05-04,M,,"dolor abdominal, acidez estomacal",Gastritis,Pimpingos
28321076,Marta Isabel Delgado Herrera,2012-02-19,M,SAN JOSE DE LIRIO,"pérdida de olfato, dificultad para respirar, fiebre",COVID-19,Pimpingos
71412472,Carmen Alberto Castillo Cruz,1972-04-17,M,OTRO. PIQUIO NRO. PUERTA SN PISO.01,"estornudos, picazón, ojos llorosos",Alergia,Pimpingos
14085395,Carmen Luisa González Torres,2018-11-05,M,OTRO. SAN JOSE DE LIRIO NRO. PUERTA SN PISO.01,"cansancio, micción frecuente, sed excesiva",Diabetes,Pimpingos
75102901,Pedro Andrés Delgado Gutiérrez,1958-09-08,M,,"dolor de cabeza, visión borrosa",Hipertensión,Pimpingos
67277989,Sandra Carolina Ramírez López,1996-11-30,F,EL CUMBE,"visión borrosa, dolor de cabeza, mareos",Hipertensión,Pimpingos
46738642,Carlos Marco Ramírez Flores,1978-06-15,F,CASERIO SANTA RITA,,,Pimpingos
29686326,María Gloria Vargas Pérez,2018-05-17,M,OTRO. CHORILLOS NRO. PUERTA SN PISO.01,"náuseas, sensibilidad a la luz",Gastritis,Pimpingos
64094021,Sandra Claudia Gutiérrez Cruz,2016-10-07,M,VILUCO,fiebre,,Pimpingos
84977634,Marta Gloria Vargas Paredes,2003-07-14,F,CAS.QUEROMARCA,"tos seca, dificultad para respirar",COVID-19,Pimpingos
39436980,Ana Eduardo Martínez Torres,1994-03-12,F,CARR. A SAN JOSE DE LIRIO NRO. PUERTA SN PISO.01,"mareos, visión borrosa, dolor de cabeza",Hipertensión,Pimpingos
66336351,Lucía Natalia Silva Pérez,2010-03-22,F,CASERIO CHORRILLOS,"mareos, visión borrosa, dolor de cabeza",Hipertensión,Pimpingos
47409563,Yolanda Olga Rojas Silva,2005-05-24,F,CP.EL CUMBE,"dificultad para respirar, opresión en el pecho",Asma,Pimpingos
88476741,Carlos David Vargas Sánchez,1972-06-20,M,C.P.EL CUMBE,"náuseas, dolor de cabeza, sensibilidad a la luz",Migraña,Pimpingos
47199416,María Laura García Gutiérrez,2005-11-25,F,CASERIO SAN JOSE,,,Pimpingos
21333226,Jesús Laura Flores Rojas,2000-12-10,F,CASERIO YAPANA,dolor de cabeza,,Pimpingos
14794926,Jorge Claudia Paredes Rodríguez,2007-08-17,F,CUCHEA,"cansancio, sed excesiva",Diabetes,Pimpingos
43079656,Ana Laura Flores Cruz,1973-08-30,M,OTRO SECTOR LA PALMA SN   PISO 01,"congestión nasal, fiebre",Gripe,Pimpingos
78943689,Ángel Gloria Silva Vargas,2010-08-18,F,VISTA ALEGRE EL CUMBE,"micción frecuente, sed excesiva",Asma,Pimpingos
30430082,Fernando Sara Rodríguez Flores,1999-06-17,F,OTRO QUEROMARCA NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"opresión en el pecho, sibilancias",Asma,Pimpingos
10078995,Lucía Alberto Ramírez Vargas,1997-07-08,M,OTRO. SAN JUAN DE CHIPLE NRO. PUERTA SN PISO.01,"visión borrosa, dolor de cabeza",Hipertensión,Pimpingos
13107523,Carmen Sara Delgado Castillo,1992-09-30,M,C.P.EL CUMBE,"estornudos, picazón",Alergia,Pimpingos
93639026,Pedro Diego Cruz Herrera,2005-12-25,M,OTRO. JUNTAS NRO. PUERTA SN PISO.01,"náuseas, dolor de cabeza, sensibilidad a la luz",Migraña,Pimpingos
47527602,Luis Gloria Castillo Delgado,2002-09-13,F,C.P.EL CUMBE,,,Pimpingos
23736759,Patricia David Pérez García,1996-01-10,M,OTRO. FILADELFIA NRO. PUERTA SN PISO.01,"dificultad para respirar, pérdida de olfato",COVID-19,Pimpingos
59895126,Carlos Flores Silva,1993-01-01,M,CASERIO PACCHA,"sensibilidad a la luz, náuseas, dolor de cabeza",Migraña,Pimpingos
55794050,Sandra Pablo Mendoza Flores,2018-10-18,F,OTRO. SN NRO. PUERTA SN PISO.01,"pérdida de olfato, fiebre",COVID-19,Pimpingos
61717854,María Pablo Martínez Rodríguez,2016-09-23,M,OTRO EL PORVENIR NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"mareos, dolor de cabeza, visión borrosa",Hipertensión,Pimpingos
90013474,Patricia Isabel Paredes Delgado,1995-03-15,M,,"náuseas, dolor de cabeza, sensibilidad a la luz",Migraña,Pimpingos
66640897,Patricia Natalia Torres Vargas,1999-12-28,M,CASERIO AGUA DULCE,"dolor de cabeza, visión borrosa, mareos",Hipertensión,Pimpingos
