DNI,Asegurado,FecNac,SEXO,CPP,síntomas,enfermedad detectada,Distrito
11725416,Verónica Diego Paredes Pérez,1968-01-01,F,FILADELFIA,"sibilancias, opresión en el pecho",Asma,San Andrés de Cutervo
83019286,Miguel David López Herrera,1988-02-02,M,OTRO. CAMINO AL PALMO NRO. PUERTA SN PISO.01,"dolor de garganta, congestión nasal",Gripe,San Andrés de Cutervo
78746123,Ángel Isabel Martínez Silva,1981-09-07,M,SAN ISIDRO,"mareos, visión borrosa, dolor de cabeza",Hipertensión,San Andrés de Cutervo
56638910,Luis Andrés Delgado García,1981-02-09,M,CASERIO EL SALLOC,"visión borrosa, dolor de cabeza",Hipertensión,San Andrés de Cutervo
66408388,Yolanda Herrera López,1994-02-16,F,CASERIO GUAYAQUIL,"ojos llorosos, estornudos, picazón",Alergia,San Andrés de Cutervo
61000065,Patricia David Torres López,1944-02-22,M,CASERIO SANTA FE,"acidez estomacal, náuseas",Gastritis,San Andrés de Cutervo
19317971,Pedro Olga Torres Vargas,2015-04-19,F,OTRO. LA PALMA NRO. PUERTA SN PISO.01,"dificultad para respirar, tos seca, pérdida de olfato",COVID-19,San Andrés de Cutervo
96714226,Ángel Gloria Herrera Rodríguez,2019-05-01,M,PJ. SAN JUAN DIOS NRO. PUERTA SN PISO.01,"sensibilidad a la luz, dolor de cabeza, náuseas",Migraña,San Andrés de Cutervo
88521649,Marta Diego Rodríguez Mendoza,2007-10-15,M,CASERIO BATANCILLO,dificultad para respirar,Asma,San Andrés de Cutervo
14960172,Luis Olga Paredes Flores,1965-01-02,M,EL CUMBE,tos seca,COVID-19,San Andrés de Cutervo
65428286,Fernando David Cruz Vargas,1998-07-15,M,VILUCO,tos,,San Andrés de Cutervo
43591928,Sandra Laura Torres Vargas,2000-12-27,F,CAS. VISTA ALEGRE EL CUMBE,dolor de cabeza,COVID-19,San Andrés de Cutervo
56867831,Carmen Gutiérrez Vargas,2017-05-31,F,,cansancio,Alergia,San Andrés de Cutervo
55700406,María David Martínez González,1976-02-20,M,SAN ISIDRO,"dolor abdominal, acidez estomacal, náuseas",Gastritis,San Andrés de Cutervo
11840107,Miguel Claudia Martínez Cruz,1983-10-08,M,,"dolor de cabeza, visión borrosa, mareos",Hipertensión,San Andrés de Cutervo
34837966,Pedro Héctor Vargas Herrera,2004-06-25,F,EL CUMBE,"náuseas, dolor de cabeza",Migraña,San Andrés de Cutervo
97426959,Jesús Alberto López Castillo,2021-09-23,M,CASERIO LA MERENDANA,"sed excesiva, cansancio",Diabetes,San Andrés de Cutervo
35758869,Lucía Roberto Gutiérrez Castillo,2000-06-10,F,OTRO. PUQUIO NRO. PUERTA SN PISO.01,"dificultad para respirar, opresión en el pecho",Asma,San Andrés de Cutervo
81648197,Miguel Herrera Vargas,1976-05-11,F,SAN JUAN DE CHIPLE,"cansancio, micción frecuente, sed excesiva",Diabetes,San Andrés de Cutervo
26621849,Pedro Eduardo Pérez Silva,1990-06-15,M,JR. LOLO FERNANDEZ NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"dolor abdominal, náuseas, acidez estomacal",Gastritis,San Andrés de Cutervo
