DNI,Asegurado,FecNac,SEXO,CPP,síntomas,enfermedad detectada,Distrito
46747682,José Raúl Torres González,1987-05-11,F,CASERIO EL PUQUIO,"dolor de cabeza, náuseas",Migraña,San Luis de Lucma
95714730,Jesús Alberto Ramírez García,1984-12-25,M,TOCHEPAMPA,estornudos,Migraña,San Luis de Lucma
60317780,Ángel Carolina Vargas Paredes,1992-06-15,M,CASERIO SAN ISIDRO,"dolor de cabeza, náuseas",Migraña,San Luis de Lucma
46647845,Fernando Luisa Flores Mendoza,2004-10-15,M,SAN JOSE DE LIRIO,"dolor de cabeza, náuseas",Hipertensión,San Luis de Lucma
44424147,Lucía Isabel Gutiérrez Castillo,1974-02-10,F,C.P.EL CUMBE,,,San Luis de Lucma
20094059,Yolanda Gloria Rodríguez González,1961-02-12,M,,"opresión en el pecho, dificultad para respirar",Asma,San Luis de Lucma
34416554,Ángel Laura Rojas Vargas,1975-06-12,M,CHURAZ,"estornudos, picazón",Alergia,San Luis de Lucma
83546101,Patricia Raúl López Pérez,1987-05-03,M,OTRO CAMINO A SANTA ROSA SN   PISO 01,"picazón, ojos llorosos, estornudos",Alergia,San Luis de Lucma
28770271,Carlos Sara Paredes Pérez,1974-01-11,F,CASERIO BATANCILLO,"acidez estomacal, dolor abdominal, náuseas",Gastritis,San Luis de Lucma
56354241,Miguel Isabel García Delgado,1965-10-18,M,CP EL CUMBE,"dificultad para respirar, sibilancias",Asma,San Luis de Lucma
62599359,María Roberto Mendoza Sánchez,1976-05-08,F,OTRO. FERNANDO BELAUNDE TERRY NRO. PUERTA SN PISO.02,"dolor de cabeza, mareos",Hipertensión,San Luis de Lucma
95501043,María Alberto Paredes González,1965-09-27,F,SAN JOSE,"dolor de cabeza, sensibilidad a la luz",Migraña,San Luis de Lucma
67863257,Fernando David Castillo Delgado,1995-09-26,M,C.P.EL CUMBE,"picazón, ojos llorosos, estornudos",Alergia,San Luis de Lucma
92780795,Yolanda Carolina Castillo Flores,1980-02-01,M,CARR. A CALLAYUC NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"náuseas, sensibilidad a la luz, dolor de cabeza",Migraña,San Luis de Lucma
56596702,Yolanda Luisa Silva Vargas,1981-04-28,F,OTRO. BATANCILLO NRO. PUERTA SN PISO.01,"dificultad para respirar, opresión en el pecho",Asma,San Luis de Lucma
64507318,Carmen Vargas Gutiérrez,1995-04-30,F,VILUCO,"micción frecuente, cansancio",Alergia,San Luis de Lucma
91056285,Verónica Diego González Rojas,1999-04-18,M,SAN JUAN DE CHIPLE,,,San Luis de Lucma
38368487,Carlos Natalia Rojas Cruz,1992-02-15,M,OTRO. SAN ISIDRO NRO. PUERTA SN PISO.01,,,San Luis de Lucma
14851217,Miguel Eduardo Rojas Flores,1989-11-11,M,CASERIO CUCHEA,"picazón, estornudos",Alergia,San Luis de Lucma
23434103,Juan Olga Gutiérrez Castillo,1976-11-16,M,CRR. PUQUIO VILUCO SN   PISO 01,"mareos, visión borrosa",Alergia,San Luis de Lucma
70459354,Luis Raúl Martínez Ramírez,1993-09-02,F,CASERIO SAN ANTONIO DE VILUCO,,,San Luis de Lucma
13531238,Miguel Andrés Mendoza Flores,1993-05-10,M,CHORRILLOS,"opresión en el pecho, dificultad para respirar",Asma,San Luis de Lucma
23128866,Luis Natalia Gutiérrez Ramírez,2002-12-07,F,CASERIO CHURAZ,"ojos llorosos, estornudos, picazón",Alergia,San Luis de Lucma
10210476,Verónica Roberto Castillo Gutiérrez,1998-11-20,F,OTRO. SECTOR EL CAMPO NRO. PUERTA SN PISO.01,,Gastritis,San Luis de Lucma
30279839,Juan Alberto Herrera González,2019-08-13,F,OTRO AGUA DULCE NRO.SN BLOQUE. PISO.1 INTERIOR.  MZA.  LOTE. KM.,mareos,Migraña,San Luis de Lucma
44020027,Jorge Eduardo Flores Ramírez,1959-03-22,F,OTRO. CUMBE NRO. PUERTA 0 PISO.01,"cansancio, micción frecuente",Diabetes,San Luis de Lucma
46820396,Luis Claudia López Delgado,2005-10-13,M,CALLE COMERCIO SN,"picazón, ojos llorosos",Alergia,San Luis de Lucma
36837171,Sandra Isabel Castillo Gutiérrez,1972-04-10,F,SANTA TERESA DE QUEROMARCA,"dolor de cabeza, mareos, visión borrosa",Hipertensión,San Luis de Lucma
67042651,Yolanda Alberto Vargas Sánchez,2003-03-22,F,VISTA ALEGRE,"picazón, estornudos, ojos llorosos",Alergia,San Luis de Lucma
19624052,Jesús Natalia Silva Herrera,2015-07-09,F,OTRO EL CUMBE NRO.SN BLOQUE. PISO.02 INTERIOR.  MZA.  LOTE.,tos,,San Luis de Lucma
89966294,Carlos Eduardo Mendoza Sánchez,1985-11-02,F,CHURAZ,,,San Luis de Lucma
73674482,Verónica Mónica Martínez Mendoza,1987-05-03,M,OTRO CAMINO A SANTA ROSA SN   PISO 01,"picazón, ojos llorosos, estornudos",Alergia,San Luis de Lucma
57026199,Yolanda Héctor Rojas Mendoza,2001-07-12,M,SAN JUAN BAUTISTA,"dolor abdominal, náuseas, acidez estomacal",Gastritis,San Luis de Lucma
49440169,Lucía Luisa Rodríguez Castillo,1985-01-08,F,CASERIO CHONTAS,"visión borrosa, dolor de cabeza",Hipertensión,San Luis de Lucma
97191556,José Pablo García Delgado,2010-12-02,M,SAN ISIDRO A CHORRILLOS,,,San Luis de Lucma
51039913,Rosa David González Mendoza,1999-02-20,M,CASERIO MERENDANA,"dolor de garganta, congestión nasal",Gripe,San Luis de Lucma
88100490,José Roberto Gutiérrez Paredes,1994-02-06,F,,tos,,San Luis de Lucma
73896424,María Raúl Castillo García,1997-10-20,F,OTRO. SAN JOSE DE LIRIO NRO. PUERTA SN PISO.01,"visión borrosa, dolor de cabeza",Hipertensión,San Luis de Lucma
45870355,Luis Pablo Silva Sánchez,1992-09-09,M,,"sensibilidad a la luz, dolor de cabeza",Migraña,San Luis de Lucma
