DNI,Asegurado,FecNac,SEXO,CPP,síntomas,enfermedad detectada,Distrito
39823373,Jesús Marco Rojas Torres,1976-07-16,F,CASERIO BATANCILLO,mareos,Alergia,Santa Cruz
73461027,Fernando Olga Delgado Paredes,1988-10-06,F,CASERIO YAPANA,"sibilancias, opresión en el pecho, dificultad para respirar",Asma,Santa Cruz
59213818,Miguel Claudia Vargas Delgado,1958-08-17,F,SAN ISIDRO,"tos, dolor de garganta",Gripe,Santa Cruz
78001920,Rosa Gloria Paredes Pérez,1959-11-13,M,C.P.EL CUMBE,"opresión en el pecho, dificultad para respirar",Asma,Santa Cruz
53075352,Verónica Mónica Paredes García,2015-06-27,F,LA MERENDANA,"sibilancias, opresión en el pecho",Asma,Santa Cruz
42434937,Carlos Luisa Cruz Castillo,1988-09-28,M,EL CUMBE,"dolor de garganta, fiebre",Gripe,Santa Cruz
21344632,Luis Laura Mendoza Herrera,1984-07-29,F,SAN ISIDRO,"acidez estomacal, náuseas, dolor abdominal",Gastritis,Santa Cruz
27882476,Carlos Andrés Mendoza García,2005-10-11,M,CASERIO PUQUIO,"náuseas, dolor de cabeza, sensibilidad a la luz",Migraña,Santa Cruz
58606758,Verónica Marco López Paredes,1995-09-01,F,OTRO PAMPA  GRANDE NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,fiebre,Diabetes,Santa Cruz
63003051,Marta Gloria Cruz González,2004-11-02,M,EL SALLOC,"sibilancias, dificultad para respirar",Asma,Santa Cruz
58099437,Marta Carolina Pérez González,1949-10-20,F,CP EL CUMBE,"estornudos, picazón, ojos llorosos",Alergia,Santa Cruz
92013834,Luis Roberto Silva Vargas,2019-02-23,F,OTRO. EL TRIUNFO NRO. PUERTA SN PISO.00,tos,,Santa Cruz
30738089,Patricia Natalia Pérez Gutiérrez,1991-10-01,M,,"sed excesiva, micción frecuente, cansancio",Diabetes,Santa Cruz
66555988,Luis Sara García Mendoza,2013-10-21,F,OTRO. YAPANA NRO. PUERTA SN PISO.01,"visión borrosa, dolor de cabeza",Hipertensión,Santa Cruz
