DNI,Asegurado,FecNac,SEXO,CPP,síntomas,enfermedad detectada,Distrito
64546118,Fernando Alberto Rojas Gutiérrez,1990-05-28,F,EL CUMBE,"náuseas, sensibilidad a la luz, dolor de cabeza",Migraña,Santo Domingo de la Capilla
14836195,Carlos Gloria Rodríguez Pérez,2004-10-02,M,SAN JUAN DE CHORRILLOS,"acidez estomacal, dolor abdominal",Gastritis,Santo Domingo de la Capilla
27240525,José Vargas Pérez,1970-04-01,F,EL CUMBE,"sensibilidad a la luz, náuseas",Migraña,Santo Domingo de la Capilla
11664730,Fernando Olga Delgado Rodríguez,2018-01-21,F,OTRO. SAN JOSE NRO. PUERTA SN PISO.01,"opresión en el pecho, dificultad para respirar, sibilancias",Asma,Santo Domingo de la Capilla
44995579,Jorge David González Castillo,2012-05-25,M,SAN ISIDRO,"sensibilidad a la luz, dolor de cabeza, náuseas",Migraña,Santo Domingo de la Capilla
44916005,Ana Raúl García Pérez,1993-03-02,F,ANTA RITA,"congestión nasal, tos, dolor de garganta",Gripe,Santo Domingo de la Capilla
97601858,Juan Andrés Rojas Delgado,1970-08-23,F,CASERIO YAPANA,"dificultad para respirar, opresión en el pecho, sibilancias",Asma,Santo Domingo de la Capilla
74015063,Rosa Gloria Herrera García,1987-12-04,F,OTRO CAMINO A SANTA ROSA SN   PISO 01,"cansancio, micción frecuente, sed excesiva",Diabetes,Santo Domingo de la Capilla
20883685,Luis Diego Herrera Torres,1974-01-14,M,CASERIO EL PUQUIO,"dolor de cabeza, mareos",Hipertensión,Santo Domingo de la Capilla
92799038,José Héctor González Rodríguez,1998-04-18,F,OTRO. HUABAL NRO. PUERTA SN PISO.01,"micción frecuente, cansancio",Diabetes,Santo Domingo de la Capilla
25567560,Rosa Andrés Rojas Herrera,2015-01-11,F,CASERIO CHONTAS ALTAS,"picazón, estornudos",Alergia,Santo Domingo de la Capilla
70252678,Patricia Olga Silva Castillo,1992-04-04,M,CASERIO FLOR DE LIRIO,"fiebre, tos seca, pérdida de olfato",COVID-19,Santo Domingo de la Capilla
25348443,Ángel Cruz Gutiérrez,2013-09-06,F,CASERIO CHURAZ,"picazón, ojos llorosos",Alergia,Santo Domingo de la Capilla
78392272,Ana Luisa López Gutiérrez,1948-02-08,M,CASERIO CHURAZ,"dolor de cabeza, sensibilidad a la luz",Migraña,Santo Domingo de la Capilla
72688549,Marta Luisa Castillo Sánchez,1974-07-24,F,CALLAYUC,"estornudos, picazón, ojos llorosos",Alergia,Santo Domingo de la Capilla
