DNI,Asegurado,FecNac,SEXO,CPP,síntomas,enfermedad detectada,Distrito
66745886,Verónica Olga Ramírez Rojas,1968-06-07,M,CASERIO SAN JOSE,"sibilancias, opresión en el pecho",Asma,Toribio Casanova
53841899,Fernando Carolina Herrera Sánchez,1980-05-15,F,GRAMALOTILLO,náuseas,Gripe,Toribio Casanova
36635814,Jorge Marco López Castillo,2006-08-13,M,C.P.EL CUMBE,"sibilancias, dificultad para respirar, opresión en el pecho",Asma,Toribio Casanova
19288897,Sandra Marco Herrera Mendoza,1975-02-19,M,C.P.EL CUMBE,,,Toribio Casanova
82453846,Fernando Mónica Silva Flores,2000-09-15,F,CENTRO POBLADO EL CUMBE,dolor de cabeza,,Toribio Casanova
94449194,Carlos Mónica Martínez Herrera,1979-11-25,M,CHONTAS,"picazón, ojos llorosos",Alergia,Toribio Casanova
61172428,Sandra Isabel García Rodríguez,1972-12-23,M,EL CUMBE,"picazón, ojos llorosos",Alergia,Toribio Casanova
62758922,Yolanda Flores García,2013-09-05,F,EL CUMBE,"mareos, visión borrosa",Asma,Toribio Casanova
64767901,Marta Pablo Ramírez Paredes,2020-12-01,F,COMUNIDAD PUQUIO,"náuseas, dolor de cabeza, sensibilidad a la luz",Migraña,Toribio Casanova
55962089,Ángel Sánchez Delgado,2010-06-23,M,LA CHAMANA,"sensibilidad a la luz, náuseas",Migraña,Toribio Casanova
77844308,Fernando Diego Gutiérrez García,2008-10-14,M,COMUNIDAD GRAMALOTILLO,"dolor de cabeza, náuseas, sensibilidad a la luz",Migraña,Toribio Casanova
58447112,Juan Luisa Sánchez Pérez,1982-05-29,F,EL SALLOC,"congestión nasal, fiebre",Gripe,Toribio Casanova
80419102,María Rodríguez Torres,2001-10-16,M,UNION SAN JOSE,"tos, dolor de garganta",Gripe,Toribio Casanova
74022628,Ana Luisa Rojas Flores,1965-09-27,F,SAN JOSE,"dolor de cabeza, sensibilidad a la luz",Migraña,Toribio Casanova
10688830,Jesús Raúl Flores López,1992-01-02,M,SANTA ROSA,"estornudos, picazón, ojos llorosos",Alergia,Toribio Casanova
44167144,Verónica Gloria Rodríguez Ramírez,1973-03-01,M,EL CUMBE,"dificultad para respirar, sibilancias",Asma,Toribio Casanova
88663408,Carlos Mónica Flores García,2000-06-24,M,CALLE. COMERCIO NRO. PUERTA SN PISO.02,"cansancio, sed excesiva",Diabetes,Toribio Casanova
85120172,Patricia Natalia López Martínez,2004-07-18,M,OTRO. SAN JOSE DE LIRIO NRO. PUERTA SN PISO.01,"náuseas, acidez estomacal, dolor abdominal",Gastritis,Toribio Casanova
34558782,Luis David Herrera González,2019-05-30,F,OTRO. FILADELFIA NRO. PUERTA SN PISO.01,"sensibilidad a la luz, náuseas, dolor de cabeza",Migraña,Toribio Casanova
26076523,Ana Héctor Cruz Pérez,2001-09-06,M,EL CUMBE,"opresión en el pecho, dificultad para respirar",Asma,Toribio Casanova
38015882,Verónica Mónica Sánchez Cruz,1991-09-08,M,POSA SECA,"acidez estomacal, dolor abdominal",Gastritis,Toribio Casanova
18232725,Verónica Claudia Rodríguez Delgado,1965-08-03,F,PUQUIO,"congestión nasal, fiebre",Gripe,Toribio Casanova
70907369,Carmen Andrés Torres Ramírez,1996-11-12,M,CASERIO YAPANA,"dificultad para respirar, sibilancias",Asma,Toribio Casanova
87374243,Verónica Eduardo Martínez Delgado,2007-09-22,F,CHURAZ,"visión borrosa, mareos, dolor de cabeza",Hipertensión,Toribio Casanova
90333512,Luis Olga López Vargas,1999-05-25,M,SAN JOSE,,,Toribio Casanova
23975075,Juan Laura Sánchez González,1975-02-06,M,,"dificultad para respirar, pérdida de olfato, tos seca",COVID-19,Toribio Casanova
39818306,Marta Marco López Rojas,1994-08-07,F,SAN ISIDRO,"náuseas, dolor abdominal, acidez estomacal",Gastritis,Toribio Casanova
44099117,Miguel Laura Herrera González,1964-08-20,F,C.P.EL CUMBE,,Diabetes,Toribio Casanova
52454062,Lucía Pablo Rodríguez Castillo,1987-03-15,M,CARR. A SAN JUAN DE CHORRILLOS NRO. PUERTA SN PISO.01,"sensibilidad a la luz, náuseas",Migraña,Toribio Casanova
33033720,José Héctor Paredes Flores,2013-04-29,M,CAS SAN AGUSTIN,"dolor de cabeza, mareos",Hipertensión,Toribio Casanova
83477450,Juan David López Vargas,1964-10-27,M,BATANCILLO,"mareos, visión borrosa",Hipertensión,Toribio Casanova
77714266,Carlos David Rojas Ramírez,2015-09-06,M,PUQUIO,"dolor de cabeza, visión borrosa, mareos",Hipertensión,Toribio Casanova
41489443,Rosa Mónica Martínez Pérez,1982-01-14,F,CALLAYUC,"mareos, visión borrosa",Hipertensión,Toribio Casanova
52141985,Rosa Laura Silva Rojas,2006-06-21,F,CASERIO CUCHEA,"pérdida de olfato, dificultad para respirar",COVID-19,Toribio Casanova
39648876,Carmen Isabel Martínez Rojas,1992-03-05,F,EL CUMBE,"fiebre, pérdida de olfato",COVID-19,Toribio Casanova
93428071,Marta Raúl Silva Rodríguez,1954-07-16,M,CASERIO PORVENIR,"dolor de cabeza, visión borrosa",Hipertensión,Toribio Casanova
36169650,Ana Roberto López Herrera,1970-12-25,F,CASERIO SAN JOSE,,Gastritis,Toribio Casanova
80336060,Luis Isabel Vargas Castillo,1982-02-28,F,CASERIO BATANCILLO,"tos seca, pérdida de olfato, fiebre",COVID-19,Toribio Casanova
33898606,Pedro Marco López Castillo,2007-02-09,M,CASERIO EL CUMBE,"sibilancias, opresión en el pecho, dificultad para respirar",Asma,Toribio Casanova
82977657,Verónica Eduardo Castillo Flores,1989-08-13,M,OTRO PUQUIO NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"dolor de cabeza, mareos, visión borrosa",Hipertensión,Toribio Casanova
24021475,Ana Isabel Mendoza Sánchez,1998-06-30,F,CASERIO CUCHEA,"mareos, visión borrosa",Hipertensión,Toribio Casanova
20598645,Marta Pablo Gutiérrez Pérez,2000-02-04,M,LA PACCHA MIRAFLORES,"fiebre, tos seca",COVID-19,Toribio Casanova
50233959,Pedro David Pérez Paredes,2008-09-24,F,CASERIO SAN JOSE DE LIRIO,"tos seca, dificultad para respirar",COVID-19,Toribio Casanova
20325542,Carmen Mendoza Ramírez,2020-02-23,F,SAN JOSE,,COVID-19,Toribio Casanova
37583945,Patricia Diego Rodríguez García,1964-02-05,M,EL CUMBE,mareos,COVID-19,Toribio Casanova
75775741,Rosa Alberto Pérez Mendoza,2003-07-25,M,CASERIO TOCHE PAMPA,"náuseas, dolor de cabeza",Migraña,Toribio Casanova
37641085,María López Castillo,1973-03-24,M,FILA ALTA,"dolor de garganta, tos, congestión nasal",Gripe,Toribio Casanova
46900030,Carlos Mónica Rojas Silva,1977-01-18,F,LA PALMA,"picazón, ojos llorosos, estornudos",Alergia,Toribio Casanova
59834394,Ángel Sara Herrera González,2001-01-06,M,EL CUMBE,"dolor de cabeza, visión borrosa, mareos",Hipertensión,Toribio Casanova
83984563,Luis Carolina Pérez Herrera,1978-06-26,M,CALLE. A UNA CUADRA DEL PARQUE NRO. PUERTA SN PISO.01,"cansancio, micción frecuente, sed excesiva",Diabetes,Toribio Casanova
76290372,Luis Raúl Vargas Martínez,2004-11-09,F,chorrillos,"dificultad para respirar, opresión en el pecho",Diabetes,Toribio Casanova
42170914,Juan Claudia Vargas Herrera,2001-10-28,M,CASERIO BATANCILLO,,,Toribio Casanova
76951400,Ángel Carolina Gutiérrez Delgado,1986-07-18,M,EL CUMBE,"visión borrosa, mareos",Hipertensión,Toribio Casanova
52308439,Rosa Pérez Martínez,1950-05-13,F,CP.EL CUMBE,"dolor abdominal, náuseas, acidez estomacal",Gastritis,Toribio Casanova
49156725,Luis Natalia González Martínez,2007-09-22,F,CHURAZ,"visión borrosa, mareos, dolor de cabeza",Hipertensión,Toribio Casanova
16540313,María Flores Martínez,1959-08-26,M,EL CUMBE,"mareos, dolor de cabeza, visión borrosa",Hipertensión,Toribio Casanova
14551815,Patricia Pablo Vargas Paredes,2022-03-15,F,CALLAYUC,fiebre,,Toribio Casanova
66598394,Pedro Sara Rojas Cruz,1980-10-25,M,SAN JOSE DE LIRIO,náuseas,Asma,Toribio Casanova
19726694,Pedro Roberto González Pérez,2014-05-09,F,CHURAZ,"dificultad para respirar, sibilancias",Gastritis,Toribio Casanova
58139917,Rosa Marco Martínez Silva,2003-04-04,M,CHURAZ,"opresión en el pecho, dificultad para respirar, sibilancias",Asma,Toribio Casanova
